Patch,Name,Assign/Range,LFO_Rate,LFO_Delay,LFO_Trig,DCO_LFO,DCO_PWM,DCO_PWM_Mode,DCO_Square,DCO_Saw,DCO_Sub,DCO_Sub_Level,DCO_Noise,HPF_Freq,VCF_Freq,VCF_Res,VCF_Env_Pol,VCF_Env_Amt,VCF_LFO_Amt,VCF_Kybd_Amt,VCA_Mode,VCA_Level,ENV_A,ENV_D,ENV_S,ENV_R,Chorus_Off,Chorus_1,Chorus_2
55,Popcorn,U,0,0,A,0,0,M,,,*,10,0,1,2.5,2,N,5.5,0,10,E,+3,0,3,2,0,*,,
56,Reed 2,U,3,8,M,0,0,M,,,*,10,0,0,2,0,N,6,0,8,E,0,0,5.5,3,6,,*,
57,Reed 3,U,6,2,M,2,5,M,,,*,10,0,0,3,2,N,3,0,10,E,+1,2.5,0,10,2,*,,
58,PWM Chorus,N,3,0,M,0,5,L,*,,*,10,0,0,8,0,N,0,0,10,E,-3,3,0,10,4,,,*
61,Synthesizer Organ,N,4.5,6,A,0,6.5,M,*,,*,7.5,0,0,2.5,0,N,5,2,7,G,0,0,2,5,2.5,,,*
62,Effect Sound 1,U,4.5,6,A,1.5,10,M,*,*,*,7,0,0,6.5,0,I,4.5,0,7,E,+2,0,5,0,5.5,,,*
63,Effect Sound 2,N,5.5,9,A,0,3,L,,*,*,6.5,0,0,6.5,3,I,4,0,1,G,-1,6.5,5.5,2,6.5,,,*
64,Space Harp,N,5.5,0,A,2,0,E,,*,,0,0,0,6.5,5,N,5.5,0,10,E,+1,0,8,8,9,,,*
65,Funk,N,3,2.5,A,0,6,M,*,*,*,10,0,0,7.5,6,I,5,0,4.5,G,-3,6,5,0,0,,,*
66,Space Sound 1,N,6,7,A,2,4.5,M,*,,*,10,0,0,6.5,7,I,5.5,0,10,G,-2,0,8,0,3,,,*
67,Mysterious Invention,N,6,8,A,2,8,E,*,*,,10,0,0,8,7,I,6,2.5,0,E,0,0,10,0,10,*,,
68,Space Sound 2,N,3,3,A,0,6,M,*,*,,8,0,0,2,8.5,N,6,0,10,E,-3,10,10,10,10,,,*
71,Percussive Sound 1,U,0,0,A,0,0,E,,,,0,10,1,4,10,N,1.5,0,10,E,+5,0,3,0,4,*,,
72,Percussive Sound 2,N,0,0,A,0,0,E,,,,0,0,1,5,10,I,3.5,0,10,E,+5,0,3,0,4,*,,
73,Whistle,U,5.5,5,A,0,0,M,,,,0,2,1,3.5,10,N,1.5,2,10,E,+3,3,0,10,1,*,,
74,Effect Sound 3,N,5.5,4,A,0,0,E,,,,0,0,1,3.5,10,N,0,2,10,E,+5,0,4,5.5,7,*,,
75,UFO,U,6,0,A,0,0,M,,,,0,2,0,0,10,N,7,4,10,E,-1,0,6,10,8,,*,
76,Space Sound 3,U,6,0,A,0,0,M,,,,0,2,0,5,10,I,4,0,10,E,0,0,10,0,8,,*,
77,Surf,N,0,0,A,0,0,E,,,,10,10,0,6,0,N,0,6,10,E,+4,0,4,10,8,*,,
78,Synthesizer Drum,N,0,0,M,0,0,E,,,,0,0,0,2,10,N,4,0,10,E,+1,0,5,0,6,*,,
