Number,VCF Env,VCF LFO,VCF KYBD,VCA Level,ENV Attack,ENV Release,ENV Decay,ENV Sustain,VCF Freq,DCO Noise,DCO Sub Osc,VCF Res,DCO PWM,LFO Rate,DCO LFO,LFO Delay,VCF Polarity,DCO PWM Mode,HPF,VCA Type,LFO Trigger,Chorus I,Square Wave,Triangle Wave,Sub Wave,Chorus II,Chorus Off
1-1,31,0,205,94,223,163,212,142,162,0,0,0,166,40,44,82,0,0,1,1,0,0,1,1,0,1,0
1-2,31,0,0,109,196,175,206,253,170,0,0,0,154,59,0,253,0,2,1,1,0,0,1,0,0,1,0
1-3,42,0,253,109,204,181,127,190,170,0,0,0,85,64,34,110,0,0,1,1,0,1,1,1,0,0,0
1-4,42,0,253,109,168,125,118,190,188,0,0,0,85,64,34,110,0,0,1,1,0,1,1,1,0,0,0
1-5,131,0,0,155,140,151,174,167,29,0,0,0,218,64,34,115,0,2,1,0,1,1,1,1,0,0,0
1-6,131,0,44,138,140,184,161,114,48,0,0,41,0,64,34,253,0,1,1,0,1,1,1,1,0,0,0
1-7,164,0,44,138,182,190,226,246,31,0,0,87,0,64,15,121,0,1,1,1,0,1,0,1,0,0,0
1-8,253,0,253,157,173,183,207,137,0,0,0,0,0,64,51,121,0,1,1,1,1,1,0,1,0,0,0
2-1,45,0,0,157,29,0,207,0,125,0,0,0,220,64,18,197,0,1,0,1,1,1,0,1,0,0,0
2-2,190,0,253,157,219,119,119,253,217,0,0,0,174,70,30,197,1,1,1,0,1,1,1,0,0,0,0
2-3,109,0,253,151,29,174,178,0,117,0,91,131,253,21,0,253,0,1,0,1,0,1,1,0,1,0,0
2-4,253,0,113,151,29,184,188,80,0,0,253,0,113,82,0,253,0,0,1,1,0,0,1,0,1,1,0
2-5,0,0,253,127,29,209,167,30,101,0,0,253,0,63,10,253,0,1,1,1,0,1,0,1,0,0,0
2-6,20,0,0,90,29,195,195,0,155,0,0,51,216,21,0,253,0,0,1,1,0,0,1,1,0,1,0
2-7,176,0,253,90,181,0,0,253,226,0,0,107,160,59,0,253,1,0,1,0,0,1,1,1,0,0,0
2-8,111,2,184,90,141,178,180,74,114,0,36,84,0,59,31,187,0,1,1,0,1,0,1,1,1,1,0
3-1,24,0,253,117,29,0,0,0,104,0,0,253,176,58,0,87,0,1,1,0,0,1,1,1,0,0,0
3-2,27,0,253,117,29,0,0,0,105,0,0,253,178,60,0,83,0,1,1,0,0,1,1,1,0,1,0
3-3,27,0,253,124,29,0,0,0,100,0,253,253,178,62,25,169,0,1,1,0,1,1,1,0,1,0,0
3-4,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,1,1,0
3-5,0,0,253,144,29,0,0,0,83,0,121,253,207,68,0,253,0,1,1,0,0,0,1,0,1,0,1
3-6,0,0,253,144,29,0,0,0,84,0,150,253,207,68,0,253,0,1,1,0,0,1,1,0,1,1,0
3-7,0,0,0,144,29,0,0,0,107,0,130,0,215,68,16,253,0,1,1,0,1,0,1,1,1,0,1
3-8,33,0,0,118,151,126,224,166,131,0,194,23,215,33,0,253,0,0,1,1,0,1,1,1,1,0,0
4-1,0,33,0,118,116,127,211,0,136,0,0,42,0,74,0,201,0,1,2,1,0,0,0,1,0,0,1
4-2,68,33,0,118,149,151,211,0,89,0,0,40,0,144,29,189,0,1,2,0,0,0,1,0,0,0,1
4-3,129,0,42,118,149,125,173,152,51,0,107,0,0,112,30,253,0,1,1,1,1,0,0,1,1,0,1
4-4,73,11,118,118,114,114,157,205,104,0,0,39,241,73,30,48,0,1,3,1,0,0,1,0,0,0,1
4-5,0,1,253,118,29,101,121,0,90,0,0,253,0,65,0,253,1,1,1,0,0,0,0,0,0,0,1
