Number,VCF Env,VCF LFO,VCF KYBD,VCA Level,ENV Attack,ENV Release,ENV Decay,ENV Sustain,VCF Freq,DCO Noise,DCO Sub Osc,VCF Res,DCO PWM,LFO Rate,DCO LFO,LFO Delay,VCF Polarity,DCO PWM Mode,HPF,VCA Type,LFO Trigger,Chorus I,Square Wave,Triangle Wave,Sub Wave,Chorus II,Chorus Off
4-6,0,0,127,217,174,101,195,211,105,0,0,123,253,151,0,125,0,1,0,1,0,0,1,0,0,0,1
4-7,112,0,126,124,64,177,225,0,93,0,0,53,70,21,0,253,0,2,2,0,0,1,1,0,0,0,0
4-8,112,0,106,107,29,253,102,174,50,0,0,0,182,21,0,253,0,2,1,1,0,1,1,1,0,0,0
5-1,115,0,160,107,29,224,215,153,230,0,0,199,195,21,0,253,0,0,1,1,0,0,1,1,0,1,0
5-2,115,0,115,107,189,253,253,253,48,0,0,141,195,45,0,253,0,0,3,1,0,0,1,1,0,1,0
5-3,115,0,162,107,253,253,253,174,176,0,0,184,195,52,0,253,0,0,1,1,0,0,1,1,0,1,0
5-4,72,0,75,127,213,168,173,174,91,0,0,58,0,71,39,253,0,1,1,1,1,0,0,1,0,1,0
5-5,195,0,110,127,253,253,253,253,0,0,0,211,0,21,0,253,0,1,1,1,0,0,0,1,0,1,0
5-6,193,0,253,127,253,253,253,88,30,111,253,253,253,21,0,253,0,2,1,1,1,1,1,0,1,0,0
5-7,0,0,0,124,104,70,205,253,203,0,186,44,198,60,0,253,0,0,1,1,0,0,1,0,1,1,0
5-8,0,0,0,124,104,70,205,253,203,0,186,44,198,60,0,253,0,0,1,1,0,0,1,0,1,1,0
6-1,106,0,47,124,29,70,227,75,40,0,40,171,192,31,0,253,0,0,1,1,0,1,1,1,1,0,0
6-2,0,0,0,124,29,141,176,119,109,0,112,29,113,21,0,253,0,1,1,1,0,0,1,1,1,0,1
6-3,13,0,0,123,75,162,181,26,116,0,0,14,213,21,0,253,0,2,1,0,0,0,1,0,0,0,1
6-4,109,0,253,91,29,0,162,44,73,0,253,144,196,21,0,253,0,2,1,0,0,1,1,0,1,0,0
6-5,165,0,110,91,29,49,147,148,23,0,0,133,0,97,37,253,0,1,1,0,1,1,1,0,1,0,0
6-6,170,0,161,91,29,0,147,201,23,0,0,91,167,82,37,253,0,2,1,0,1,1,1,0,0,0,0
6-7,151,0,161,91,167,0,201,0,171,0,0,36,167,82,51,253,1,2,1,0,1,1,1,1,0,0,0
6-8,253,0,0,91,148,0,170,142,0,0,253,144,0,64,51,253,0,1,1,0,1,1,0,1,1,0,0
7-1,120,0,0,91,253,253,253,0,106,253,0,120,0,21,0,253,0,1,0,0,0,0,0,0,0,0,1
7-2,0,0,169,91,29,198,253,253,91,0,0,253,0,21,0,253,0,1,1,1,0,1,0,0,0,0,0
7-3,109,0,253,91,178,222,152,47,119,0,0,253,0,65,0,110,1,1,1,1,0,0,0,0,0,1,0
7-4,253,106,253,91,88,253,253,0,0,253,0,253,0,253,0,82,0,1,1,1,0,1,0,0,0,0,0
7-5,253,0,253,91,253,253,253,118,0,115,0,188,0,253,0,253,0,1,1,1,0,1,0,0,0,0,0
7-6,68,35,253,91,29,187,127,253,109,0,0,253,0,69,0,45,1,1,1,1,0,1,0,0,0,0,0
7-7,146,35,253,91,253,253,253,0,225,253,0,172,0,57,0,0,1,1,1,1,0,0,0,0,0,1,0
7-8,146,35,253,91,253,253,253,0,0,253,0,184,0,58,0,85,0,1,1,1,1,1,0,0,0,0,0
